DISTRICT,DIVISION,LOCATION,SUB LOCATION
BARINGO,BARINGO SOUTH,MOCHONGOI,MOCHONGOI
BARINGO,BARINGO SOUTH,KIMALEL,SABOR
BARINGO,BARINGO CENTRAL,KAPROPITA,KAPSOO/BOROWONIN
BARINGO,BARINGO CENTRAL,TENGES,TENGES
BARINGO,BARINGO CENTRAL,KABARNET SOI,KIMOSO
BARINGO,BARINGO SOUTH,MOCHONGOI,KAPKECHIR
BARINGO,BARINGO CENTRAL,OROKWO,KAPCHEPTERIT
BARINGO,BARINGO CENTRAL,EWALEL,SERETUNIN
BARINGO,BARINGO CENTRAL,EWALEL,RIWO
BARINGO,BARINGO CENTRAL,KABARNET MOSOP,SEGUTON
BARINGO,BARINGO SOUTH,KISERIAN,KISERIAN
BARINGO,BARINGO SOUTH,MARIGAT,PERKERRA
BARINGO,BARINGO SOUTH,ILCHAMUS,ELDUME
BARINGO,BARINGO SOUTH,SALABANI,MEISORI
BARINGO,BARINGO CENTRAL,SACHO SOI,KAPKELELWA
BARINGO,BARINGO CENTRAL,OROKWO,MOLOI
BARINGO,BARINGO CENTRAL,KITURO,KITURO
BARINGO,BARINGO SOUTH,MOCHONGOI,KAPNAROK
BARINGO,BARINGO CENTRAL,TALAI,KAPTUMO
BARINGO,BARINGO SOUTH,CHEBINYINY,KASIELA
BARINGO,BARINGO SOUTH,MARIGAT,YATOI
BARINGO,BARINGO CENTRAL,CHEPKERIO,KIBEI
BARINGO,BARINGO SOUTH,SANDAI,SANDAI
BARINGO,BARINGO CENTRAL,KISONEI,EITUI
BARINGO,BARINGO CENTRAL,NGETMOI,CHEBUNYUR
BARINGO,BARINGO CENTRAL,SACHO MOSOP,KAPLEL
BARINGO,BARINGO CENTRAL,SACHO MOSOP,KAPLOTEN
BARINGO,BARINGO CENTRAL,KISONEI,KISONEI
BARINGO,BARINGO SOUTH,KIMONDIS,KIBINGOR
BARINGO,BARINGO SOUTH,TALAI,MOIGUTWO
BARINGO,BARINGO CENTRAL,LELMEN,LELMEN
BARINGO,BARINGO SOUTH,ARABAL,ARABAL
BARINGO,BARINGO CENTRAL,EWALEL,MOROP
BARINGO,BARINGO CENTRAL,CHEPKERIO,KOIBARAK
BARINGO,BARINGO CENTRAL,KITURO,KAPTOROKWO/KITUMBEI
BARINGO,BARINGO CENTRAL,KIBOINO,KIBOINO
BARINGO,BARINGO CENTRAL,KABASIS,KABASIS
BARINGO,BARINGO SOUTH,KIMALEL,KIMALEL
BARINGO,BARINGO SOUTH,KIMALEL,KORIEMA
BARINGO,BARINGO CENTRAL,KABASIS,KAPTIRIONY
BARINGO,BARINGO CENTRAL,SACHO MOSOP,KABARAK
BARINGO,BARINGO SOUTH,NGAMBO,NGAMBO
BARINGO,BARINGO CENTRAL,NGETMOI,TIRIONY
BARINGO,BARINGO SOUTH,KIMORIOT,KAMAILEL
BARINGO,BARINGO SOUTH,MARIGAT,ENDAO
BARINGO,BARINGO CENTRAL,KITURO,KIPKAECH
BARINGO,BARINGO SOUTH,LOBOI,MAJI NDEGE
BARINGO,BARINGO SOUTH,EWALEL SOI,KOITILION
BARINGO,BARINGO CENTRAL,NGETMOI,KAPKIAI
BARINGO,BARINGO CENTRAL,KABASIS,TIMBOIYWO
BARINGO,BARINGO CENTRAL,KIBOINO,SIRONOI
BARINGO,BARINGO SOUTH,NGAMBO,SINTAAN
BARINGO,BARINGO SOUTH,TULUONGOI,TULUONGOI
BARINGO,BARINGO CENTRAL,EMOM,SOROK
BARINGO,BARINGO CENTRAL,TENGES,TABARIN
BARINGO,BARINGO SOUTH,SALABANI,SALABANI
BARINGO,BARINGO CENTRAL,KAPROPITA,KINYO
BARINGO,BARINGO SOUTH,ARABAL,NGELECHA
BARINGO,BARINGO CENTRAL,KABARNET MOSOP,KAPROGONYA
BARINGO,BARINGO CENTRAL,CHEPKERIO,OCHI
BARINGO,BARINGO CENTRAL,EMOM,CHEPLAMBUS
BARINGO,BARINGO CENTRAL,SACHO SOI,SAIMET
BARINGO,BARINGO SOUTH,SANDAI,MBECHOT
BARINGO,BARINGO CENTRAL,KABARNET SOI,SALAWA
BARINGO,BARINGO SOUTH,KIBINJOS,SIRWET
BARINGO,BARINGO CENTRAL,KABARNET MOSOP,KEWAMOI
BARINGO,BARINGO SOUTH,TALAI,SOGON
BARINGO,BARINGO CENTRAL,LELMEN,KAPYEMIT
BARINGO,BARINGO SOUTH,EWALEL SOI,KABUSA
BARINGO,BARINGO SOUTH,KAPKUIKUI,KAPTOMBES
BARINGO,BARINGO CENTRAL,KAPROPITA,CHEBANO
BARINGO,BARINGO CENTRAL,SACHO SOI,KATUNOI
BARINGO,BARINGO SOUTH,ILNGARUA,LONGEWAN
BARINGO,BARINGO SOUTH,CHEBINYINY,CHEBINYINY
BARINGO,BARINGO SOUTH,MUKUTANI,MUKUTANI
BARINGO,BARINGO SOUTH,BEKIBON,BEKIBON
BARINGO,BARINGO SOUTH,ILCHAMUS,KAILER
BARINGO,BARINGO SOUTH,TULUONGOI,TEBEI
BARINGO,BARINGO SOUTH,KAPKUIKUI,KAPKUIKUI
BARINGO,BARINGO CENTRAL,KABARNET MOSOP,KAPCHEREBET/TURKUO
BARINGO,BARINGO SOUTH,ILNGARUA,ILNGARUA
BARINGO,BARINGO SOUTH,KISERIAN,LOGUMGUM
BARINGO,BARINGO SOUTH,LOBOI,CHELABA
BARINGO,BARINGO SOUTH,BEKIBON,TINOMOI
BARINGO,BARINGO SOUTH,MUKUTANI,RUGUS
BARINGO NORTH,BARINGO NORTH,OSSEN,TIRIONDONIN
BARINGO NORTH,BARINGO NORTH,KAPTEBEREWO,BARTOLIMO
BARINGO NORTH,BARINGO NORTH,KAPTEBEREWO,ISSAS
BARINGO NORTH,BARINGO NORTH,SAIMO,KAPCHEPKOR
BARINGO NORTH,BARINGO NORTH,SIBILO,RONDININ
BARINGO NORTH,BARINGO NORTH,KABOSIKEI KERIO,KUIKUI
BARINGO NORTH,BARINGO NORTH,OSSEN,KAIMUGUL
BARINGO NORTH,BARINGO NORTH,OSSEN,KAPTUM
BARINGO NORTH,BARINGO NORTH,KABUTEI,KAPLUK
BARINGO NORTH,BARINGO NORTH,KABOSKEI,ATIAR
BARINGO NORTH,BARINGO NORTH,SAIMO,KASISIT
BARINGO NORTH,BARINGO NORTH,LAWAN,KAPTILOMWO
BARINGO NORTH,BARINGO NORTH,NGORORA,TULUK
BARINGO NORTH,BARINGO NORTH,LAWAN,KETURWO
BARINGO NORTH,BARINGO NORTH,SIBILO,SIBILO
BARINGO NORTH,BARINGO NORTH,SAIMO,KAPKOMBE
BARINGO NORTH,BARINGO NORTH,KABUTEI,KATIBEL
BARINGO NORTH,BARINGO NORTH,KABUTEI,MUCHUKWO
BARINGO NORTH,BARINGO NORTH,KATIORIN,LELIAN
BARINGO NORTH,BARINGO NORTH,KELYO,KASAKA
BARINGO NORTH,BARINGO NORTH,KELYO,KAPKIAMO
BARINGO NORTH,BARINGO NORTH,LAWAN,KONOO
BARINGO NORTH,BARINGO NORTH,KATIORIN,KAPKIRWOK
BARINGO NORTH,BARINGO NORTH,BARTUM,TAIMON
BARINGO NORTH,BARINGO NORTH,SAIMO,TIRIMIONIN
BARINGO NORTH,BARINGO NORTH,SAIMO,KAPTERE
BARINGO NORTH,BARINGO NORTH,KINYACH,KALABATA
BARINGO NORTH,BARINGO NORTH,BARTUM,AKORIAN
BARINGO NORTH,BARINGO NORTH,SIBILO,LORUK
BARINGO NORTH,BARINGO NORTH,BARTUM,KIPCHERERE
BARINGO NORTH,BARINGO NORTH,LAWAN,BARWESSA
BARINGO NORTH,BARINGO NORTH,KIPKATA,BARKETIEW
BARINGO NORTH,BARINGO NORTH,BARTUM,KOROTO
BARINGO NORTH,BARINGO NORTH,KABOSIKEI KERIO,MAREGUT
BARINGO NORTH,BARINGO NORTH,KINYACH,KINYACH
BARINGO NORTH,BARINGO NORTH,KATIORIN,SUMEIYON
BARINGO NORTH,BARINGO NORTH,KELYO,MOSOP
BARINGO NORTH,BARINGO NORTH,NGORORA,KESUMET
BARINGO NORTH,BARINGO NORTH,KIPKATA,KAPKOIWO
BARINGO NORTH,BARINGO NORTH,KABOSKEI,TERIK
BARINGO NORTH,BARINGO NORTH,OSSEN,TILOI
BARINGO NORTH,BARINGO NORTH,NGORORA,KAPTURO
BARINGO NORTH,BARINGO NORTH,KABOSIKEI KERIO,AYATIA
BARINGO NORTH,BARINGO NORTH,KINYACH,BARTABWA
BOMET,BOMET CENTRAL,TOWNSHIP,SILIBWET
BOMET,BOMET EAST,KEMBU,KAPARUSO
BOMET,BOMET EAST,CHEBOIN,CHEBOIN
BOMET,BOMET EAST,TEGAT,TEGAT
BOMET,BOMET CENTRAL,SINGORWET,AISAIK
BOMET,CHEPALUNGU,SIONGIROI,KAPSIMBA
BOMET,BOMET CENTRAL,MUGANGO,MUGANGO
BOMET,CHEPALUNGU,SIGOR,SIGOR
BOMET,BOMET CENTRAL,NDARAWETA,TEGANDA
BOMET,CHEPALUNGU,BINGWA,CHELELACH
BOMET,CHEPALUNGU,KAPKESOSIO,KAPKESOSIO
BOMET,BOMET EAST,KIROMWOK,KIROMWOK
BOMET,BOMET CENTRAL,MUGANGO,KITOBEN
BOMET,CHEPALUNGU,CHELEGET,CHEPKOSA
BOMET,BOMET CENTRAL,CHESOEN,CHESOEN
BOMET,CHEPALUNGU,MAKIMENY,KOIMERET
BOMET,CHEPALUNGU,KYOGONG,GOITAB SILIBWET
BOMET,CHEPALUNGU,KONGASIS,SEGEMIK
BOMET,BOMET EAST,KAPKIMOLWA,KOIBEYON
BOMET,BOMET CENTRAL,SINGORWET,SINGORWET
BOMET,BOMET CENTRAL,TOWNSHIP,CHEPNGAINA
BOMET,BOMET EAST,KEMBU,KONGOTIK
BOMET,CHEPALUNGU,KAPKESOSIO,TUMOI
BOMET,CHEPALUNGU,SUGUMERGA,NYAMBUGO
BOMET,BOMET CENTRAL,KANUSIN,KANUSIN
BOMET,CHEPALUNGU,KYOGONG,KYOGONG
BOMET,BOMET CENTRAL,NDARAWETA,KABUSARE
BOMET,CHEPALUNGU,SIONGIROI,KIPSUTER
BOMET,BOMET EAST,MERIGI,CHEPKOLON
BOMET,BOMET CENTRAL,CHESOEN,KIPLELJI
BOMET,CHEPALUNGU,MAKIMENY,MAKIMENY
BOMET,CHEPALUNGU,LELAITICH,LELAITICH
BOMET,BOMET CENTRAL,NDARAWETA,NYONGORES
BOMET,CHEPALUNGU,ITEMBE,ITEMBE
BOMET,BOMET EAST,TEGAT,KIPYOSIT
BOMET,CHEPALUNGU,ITEMBE,KABISOGE
BOMET,BOMET CENTRAL,SIBAIYAN,SIBAIYAN
BOMET,BOMET EAST,CHEMANER,CHEMANER
BOMET,BOMET CENTRAL,SIBAIYAN,KAPKOROS
BOMET,BOMET CENTRAL,CHESOEN,KAMOGOSO
BOMET,BOMET CENTRAL,MERIGI,MOTIGO
BOMET,CHEPALUNGU,SIONGIROI,SIONGIROI
BOMET,CHEPALUNGU,KABOSON,KABOSON
BOMET,CHEPALUNGU,BINGWA,BINGWA
BOMET,CHEPALUNGU,BINGWA,CHEPWOSTUIYET
BOMET,CHEPALUNGU,MAKIMENY,KABEMA
BOMET,CHEPALUNGU,KONGASIS,KIMAYA
BOMET,BOMET EAST,KEMBU,CHEPTIKWAL
BOMET,BOMET CENTRAL,MUTARAKWA,TARAKWA
BOMET,CHEPALUNGU,KAPKESOSIO,KIMENDERIT
BOMET,BOMET EAST,CHEMANER,KICHUTMOI
BOMET,BOMET CENTRAL,MUTARAKWA,LELDAET
BOMET,CHEPALUNGU,BINGWA,KAPOLESEROI
BOMET,BOMET EAST,KIPRERES,NDUBAI
BOMET,CHEPALUNGU,LELAITICH,KAPSABUL
BOMET,CHEPALUNGU,SIGOR,AREIYET
BOMET,BOMET CENTRAL,NDARAWETA,NGAINET
BOMET,CHEPALUNGU,MOGOR,MOGOR
BOMET,BOMET EAST,MERIGI,MERIGI
BOMET,BOMET EAST,KAPKIMOLWA,KAPKIMOLWA
BOMET,BOMET EAST,KIPRERES,KIPRERES
BOMET,CHEPALUNGU,CHEBUNYO,CHEBUNYO
BOMET,BOMET EAST,KIROMWOK,MENET
BOMET,BOMET EAST,CHEMANER,CHAMBORI
BOMET,BOMET EAST,KIMUCHUL,SITOTWET
BOMET,CHEPALUNGU,CHELEGET,NOGIRWET
BOMET,BOMET CENTRAL,KANUSIN,KAPSANGARU
BOMET,CHEPALUNGU,SIGOR,KIPKEIGEI
BOMET,BOMET CENTRAL,TOWNSHIP,KAPSIMOTWA
BOMET,BOMET CENTRAL,SINGORWET,KABUNGUT
BOMET,BOMET EAST,KAPKIMOLWA,KIPTULWA
BOMET,BOMET EAST,CHEBOIN,SAMITUK
BOMET,CHEPALUNGU,KONGASIS,KIRIBA
BOMET,CHEPALUNGU,SUGUMERGA,CHEPTAGUM
BOMET,CHEPALUNGU,MOGOR,CHEBOYO
BOMET,CHEPALUNGU,SUGUMERGA,SUGUMERGA
BOMET,CHEPALUNGU,MOGOR,KATARET
BOMET,BOMET EAST,KIPLABOTWA,OLOKYIN
BOMET,CHEPALUNGU,LELAITICH,LUGUMEK
BOMET,CHEPALUNGU,MAKIMENY,MENGWET
BOMET,BOMET EAST,KIMUCHUL,LELKATET
BOMET,CHEPALUNGU,MAKIMENY,KIBOSON
BOMET,BOMET EAST,CHEMANER,KAPSIGIRIO
BOMET,BOMET CENTRAL,KANUSIN,SOLYOT
BOMET,CHEPALUNGU,KAMAGET,KAMOGIBOI
BOMET,BOMET EAST,KIPLABOTWA,KIPLABOTWA
BOMET,BOMET EAST,CHEBOIN,EMITIOT
BOMET,CHEPALUNGU,KAMAGET,TILANGOK
BOMET,BOMET EAST,KIPLABOTWA,KAPLIYO
BOMET,BOMET EAST,TOWNSHIP,KAPSIMBIRI
BOMET,CHEPALUNGU,CHEBUNYO,ROBORWO
BONDO,BONDO,BONDO TOWNSHIP,NYAWITA
BONDO,BONDO,CENTRAL YIMBO,USIGU
BONDO,BONDO,EAST YIMBO,OTHACH
BONDO,BONDO,NORTH YIMBO,NYAMONYE
BONDO,BONDO,NORTH YIMBO,BAR KANYANGO
BONDO,BONDO,SOUTH SAKWA,GOT ABIERO
BONDO,BONDO,NORTH SAKWA,BAR CHANDO
BONDO,BONDO,CENTRAL SAKWA,UYAWI
BONDO,BONDO,WEST YIMBO,GOT AGULU
BONDO,BONDO,NORTH SAKWA,ABOM
BONDO,BONDO,BONDO TOWNSHIP,AJIGO
BONDO,BONDO,SOUTH SAKWA,EAST MIGWENA
BONDO,BONDO,WEST SAKWA,USIRE
BONDO,BONDO,WEST YIMBO,USENGE
BONDO,BONDO,EAST YIMBO,PALA
BONDO,BONDO,BONDO TOWNSHIP,BAR-KOWINO
BONDO,BONDO,SOUTH SAKWA,NYAGUDA
BONDO,BONDO,CENTRAL SAKWA,WEST MIGWENA
BONDO,BONDO,CENTRAL SAKWA,NYANGOMA
BONDO,BONDO,CENTRAL YIMBO,GOT RAMOGI
BONDO,BONDO,WEST SAKWA,MARANDA
BONDO,BONDO,SOUTH WEST SAKWA,UTONGA
BONDO,BONDO,MAGETA,MAHANGA
BORABU,BORABU,ESISE,MANGA/LIETIGO
BORABU,BORABU,MEKENENE,MATUTU
BORABU,BORABU,NYANSIONGO,GESIMA/NYANSIONGO
BORABU,BORABU,KIABONYORU,OMONONO
BORABU,BORABU,KIABONYORU,MOKOMONI
BORABU,BORABU,NYANSIONGO,ISOGE/KINENI
BORABU,BORABU,KIABONYORU,NYANGOGE
BORABU,BORABU,MEKENENE,MOGUSII
BORABU,BORABU,KIABONYORU,NYARAMBA
BORABU,BORABU,MEKENENE,MWONGORI
BORABU,BORABU,ESISE,EKERUBO
BORABU,BORABU,KIANGENI,KITARU
BORABU,BORABU,KIANGENI,NYANKONO/ KERUMBE
BUNGOMA EAST,WEBUYE EAST,WEBUYE,MARAKA
BUNGOMA EAST,WEBUYE EAST,LUKUSI,MISIMO
BUNGOMA EAST,WEBUYE EAST,CHETAMBO,MIHUU
BUNGOMA EAST,WEBUYE EAST,LUKUSI,LUTACHO
BUNGOMA EAST,WEBUYE EAST,NDIVISI,SITABICHA
BUNGOMA EAST,WEBUYE EAST,NDIVISI,MAGEMO
BUNGOMA EAST,WEBUYE WEST,SITIKHO,SITIKHO
BUNGOMA EAST,WEBUYE WEST,SITIKHO,KHALUMULI
BUNGOMA EAST,WEBUYE EAST,NAMARAMBI,MISEMWA
BUNGOMA EAST,WEBUYE WEST,BOKOLI,MIENDO
BUNGOMA EAST,WEBUYE WEST,MISIKHU,MALAHA
BUNGOMA EAST,WEBUYE EAST,NAMARAMBI,WABUKHONYI
BUNGOMA EAST,WEBUYE WEST,MISIKHU,MISIKHU
BUNGOMA EAST,WEBUYE WEST,SITIKHO,MILO
BUNGOMA EAST,WEBUYE EAST,CHETAMBO,MITUKUYU
BUNGOMA EAST,WEBUYE EAST,NAMARAMBI,MAKUSELWA
BUNGOMA EAST,WEBUYE WEST,WEBUYE,MATULO
BUNGOMA EAST,WEBUYE WEST,MISIKHU,KITUNI
BUNGOMA EAST,WEBUYE WEST,BOKOLI,BOKOLI
BUNGOMA EAST,WEBUYE EAST,NAMARAMBI,MARINDA
BUNGOMA EAST,WEBUYE EAST,WEBUYE,TOWNSHIP
BUNGOMA EAST,WEBUYE WEST,BOKOLI,MAHANGA
BUNGOMA EAST,WEBUYE WEST,BOKOLI,MATISI
BUNGOMA NORTH,KIMILILI,KIBINGEI,KIBINGEI
BUNGOMA NORTH,KIMILILI,MAENI,NASUSI
BUNGOMA NORTH,TONGAREN,NAITIRI,MILIMA
BUNGOMA NORTH,KIMILILI,KIBINGEI,CHEBUKWABI
BUNGOMA NORTH,TONGAREN,KABUYEFWE,SIRAKARU
BUNGOMA NORTH,TONGAREN,KABUYEFWE,KABUYEFWE
BUNGOMA NORTH,TONGAREN,NAITIRI,NAITIRI
BUNGOMA NORTH,TONGAREN,TONGAREN,SOYSAMBU
BUNGOMA NORTH,TONGAREN,NDALU,MITUWA
BUNGOMA NORTH,TONGAREN,MBAKALO,KIBISI
BUNGOMA NORTH,TONGAREN,KIMININI,KIMININI
BUNGOMA NORTH,KIMILILI,KAMUKUYWA,NABIKOTO
BUNGOMA NORTH,TONGAREN,NDALU,NDALU
BUNGOMA NORTH,TONGAREN,TONGAREN,TONGAREN
BUNGOMA NORTH,KIMILILI,KIMILILI,KIMILILI
BUNGOMA NORTH,TONGAREN,KIMININI,TABANI
BUNGOMA NORTH,KIMILILI,MAENI,SIKHENDU
BUNGOMA NORTH,TONGAREN,MBAKALO,MBAKALO
BUNGOMA NORTH,KIMILILI,KAMUKUYWA,MAKHONGE
BUNGOMA NORTH,KIMILILI,KIMILILI,TOWNSHIP
BUNGOMA SOUTH,KANDUYI,TOWNSHIP,KHALABA
BUNGOMA SOUTH,KANDUYI,KIBABII,TUUTI
BUNGOMA SOUTH,BUMULA,KABULA,WATOYA
BUNGOMA SOUTH,BUMULA,KIBUKE,NGOLI
BUNGOMA SOUTH,KANDUYI,BUKEMBE,NDEGELWA
BUNGOMA SOUTH,KANDUYI,TOWNSHIP,TOWNSHIP
BUNGOMA SOUTH,KANDUYI,MUSIKOMA,SOUTH KANDUIYI
BUNGOMA SOUTH,BUMULA,SIBOTI,EAST SIBOTI
BUNGOMA SOUTH,KANDUYI,MUSIKOMA,NAMASANDA
BUNGOMA SOUTH,BUMULA,SIBOTI,MUSAKASA
BUNGOMA SOUTH,BUMULA,KHASOKO,MUNGORE
BUNGOMA SOUTH,KANDUYI,BUKEMBE,NAMIREMBE
BUNGOMA SOUTH,BUMULA,KABULA,KABULA
BUNGOMA SOUTH,KANDUYI,EAST BUKUSU,NAMWACHA
BUNGOMA SOUTH,KANDUYI,EAST BUKUSU,EAST SANGALO
BUNGOMA SOUTH,BUMULA,SOUTH BUKUSU,LUMBOKA
BUNGOMA SOUTH,KANDUYI,EAST BUKUSU,WEST SANGALO
BUNGOMA SOUTH,BUMULA,MUKWA,MUKWA
BUNGOMA SOUTH,KANDUYI,BUKEMBE,NORTH SANGALO
BUNGOMA SOUTH,BUMULA,KHASOKO,KHASOKO
BUNGOMA SOUTH,KANDUYI,EAST BUKUSU,MWIKHUPO
BUNGOMA SOUTH,KANDUYI,BUKEMBE,KONGOLI
BUNGOMA SOUTH,BUMULA,KIMAETI,SYOMBE
BUNGOMA SOUTH,BUMULA,MUKWA,KISAWAYI
BUNGOMA SOUTH,BUMULA,KHASOKO,NAMATOTOA
BUNGOMA SOUTH,KANDUYI,KIBABII,MARAKARU
BUNGOMA SOUTH,BUMULA,NAPARA,KHASOLO
BUNGOMA SOUTH,BUMULA,KIBUKE,KIBUKE
BUNGOMA SOUTH,BUMULA,MABUSI,MABUSI
BUNGOMA SOUTH,BUMULA,KIMAETI,NAKHWANA
BUNGOMA SOUTH,BUMULA,MABUSI,KIMATUNI
BUNGOMA SOUTH,BUMULA,NAPARA,BITOBO
BUNGOMA SOUTH,BUMULA,KIBUKE,MAYANJA
BUNGOMA SOUTH,BUMULA,SOUTH BUKUSU,MUANDA
BUNGOMA SOUTH,BUMULA,BUMULA,BUMULA
BUNGOMA SOUTH,BUMULA,KIBUKE,LWANJA
BUNGOMA SOUTH,BUMULA,BUMULA,LUNAO
BUNGOMA SOUTH,BUMULA,SOUTH BUKUSU,MATEKA
BUNGOMA WEST,SIRISIA,NAMUBILA,MACHAKHA
BUNGOMA WEST,SIRISIA,LWANDANYI,CHEBUKUYI
BUNGOMA WEST,SIRISIA,MALAKISI,MWALIE
BUNGOMA WEST,SIRISIA,NAMWELA,CENTRAL NAMWELA
BUNGOMA WEST,SIRISIA,LWANDANYI,MAYEKWE
BUNGOMA WEST,KABUCHAI,MUKUYUNI,MUKUYUNI
BUNGOMA WEST,SIRISIA,MALAKISI,TAMULEGA
BUNGOMA WEST,KABUCHAI,MUKUYUNI,KUYWA
BUNGOMA WEST,KABUCHAI,CHWELE,SICHEI
BUNGOMA WEST,KABUCHAI,SIRARE,WEST NALONDO
BUNGOMA WEST,SIRISIA,NAMWELA,MENU
BUNGOMA WEST,SIRISIA,NAMUBILA,WAMONA
BUNGOMA WEST,KABUCHAI,LUUYA,LUUYA
BUNGOMA WEST,KABUCHAI,KABUCHAI,KISIWA
BUNGOMA WEST,SIRISIA,SIRISIA,NORTH KULISURU
BUNGOMA WEST,KABUCHAI,CHWELE,CHWELE
BUNGOMA WEST,BUMULA,SOUTH BUKUSU,LUMBOKA
BUNGOMA WEST,SIRISIA,SIRISIA,SOUTH KULISIRU
BUNGOMA WEST,KABUCHAI,NORTH BUKUSU,MUKHWEYA
BUNGOMA WEST,KABUCHAI,LUUYA,BWAKE
BUNGOMA WEST,KABUCHAI,KABUCHAI,KABUCHAI
BUNGOMA WEST,SIRISIA,NAMWELA,SOUTH NAMWELA
BUNGOMA WEST,KABUCHAI,MUKUYUNI,KIBICHORI
BUNGOMA WEST,KABUCHAI,NORTH BUKUSU,NORTH NALONDO
BUNGOMA WEST,KABUCHAI,CHWELE,SIKULU
BUNGOMA WEST,BUMULA,MABUSI,KIMATUNI
BUNGOMA WEST,SIRISIA,MALAKISI,SITIBICHA
BUNGOMA WEST,SIRISIA,MALAKISI,BUTONGE
BUNGOMA WEST,BUMULA,SOUTH BUKUSU,MUANDA
BUNGOMA WEST,BUMULA,SOUTH BUKUSU,MATEKA
BUNGOMA WEST,BUMULA,BUMULA,BUMULA
BUNGOMA WEST,BUMULA,SIBOTI,MUSAKASA
BUNGOMA WEST,BUMULA,KIMAETI,NAKHWANA
BUNGOMA WEST,BUMULA,MABUSI,MABUSI
BUNYALA,BUDALANGI,BUNYALA SOUTH,OBARO
BUNYALA,BUDALANGI,BUNYALA NORTH,SISENYE
BUNYALA,BUDALANGI,BUNYALA CENTRAL,MAGOMBE CENTRAL
BUNYALA,BUDALANGI,BUNYALA EAST,RUAMBWA
BUNYALA,BUDALANGI,BUNYALA SOUTH,RUKALA
BUNYALA,BUDALANGI,BUNYALA CENTRAL,MAGOMBE EAST
BUNYALA,BUDALANGI,BUNYALA EAST,BUDALANGI
BUNYALA,BUDALANGI,KHAJULA,MABINJU MABUSI
BUNYALA,BUDALANGI,BUNYALA NORTH,BULEMIA
BUNYALA,BUDALANGI,BUNYALA WEST,SINGINGA
BUNYALA,BUDALANGI,BUNYALA SOUTH,EBULWANI
BUNYALA,BUDALANGI,KHAJULA,RUGUNGA
BUNYALA,BUDALANGI,BUNYALA WEST,BUKANI
BUNYALA,BUDALANGI,BUNYALA EAST,MUDEMBI
BUNYALA,BUDALANGI,BUNYALA NORTH,MUNDERE
BUNYALA,BUDALANGI,KHAJULA,LUGARE
BUNYALA,BUDALANGI,BUNYALA CENTRAL,MAGOMBE W
BUNYALA,BUDALANGI,BUNYALA WEST,BUKOMA
BURET,KONOIN,CHEBANGANG,CHEBANGANG
BURET,KONOIN,CHEMELET,KABIANGEK
BURET,KONOIN,BOITO,BOITO
BURET,KONOIN,KIPTENDEN,KIPTENDEN
BURET,BURET,KAPKISIARA,KAPKISIARA
BURET,BURET,CHEBOIN,CHEBOIN
BURET,BURET,NGESUMIN,NGESUMIN
BURET,BURET,NGESUMIN,KAMANAMSIM
BURET,BURET,NGESUMIN,RUNGUT
BURET,BURET,KAPSOGUT,KAPTELE
BURET,BURET,TULWET,KELELEWA
BURET,BURET,LITEIN,LITEIN TOWNSHIP
BURET,BURET,CHEPLANGET,CHEPLANGET
BURET,BURET,CHEBWAGAN,CHERIBO
BURET,KONOIN,MOSONIK,CHEPKOCHUN
BURET,KONOIN,KOIWA,KAPKEN
BURET,KONOIN,EMBOMOS,SIOMO
BURET,BURET,TEBESONIK,TEBESONIK
BURET,BURET,KISIARA,RORET
BURET,BURET,CHEMOIBEN,CHEMOIBEN
BURET,KONOIN,SATIET,BOSTO
BURET,KONOIN,KIMULOT,KAPSET
BURET,BURET,CHEBWAGAN,CHEBWAGAN
BURET,BURET,KAPKATET,SOSIT
BURET,BURET,TEBESONIK,SIONGI
BURET,BURET,CHEBORGE,CHEBORGE
BURET,KONOIN,KOIWA,CHEPTINGTING
BURET,KONOIN,SIMOTI,CHONGENWO
BURET,KONOIN,BOITO,KAPTEMBWO
BURET,BURET,TULWET,MOSORE
BURET,BURET,LITEIN,LALAGIN
BURET,KONOIN,KIMULOT,KAPSINENDET
BURET,BURET,CHEMOSOT,CHEMOSOT
BURET,BURET,KISIARA,MABASI
BURET,BURET,CHEPLANGET,BUTIIK
BURET,BURET,CHEPLANGET,TIRIITAB MOITA
BURET,BURET,KABARTEGAN,CHEMOIYWA
BURET,BURET,TECHOGET,KIBWASTUIYO
BURET,BURET,KAPKATET,NGANASET
BURET,KONOIN,CHEPTALAL,TABOINO
BURET,BURET,KABARTEGAN,KABARTEGAN
BURET,KONOIN,KIMULOT,CHEMALAL
BURET,BURET,KAPSOGUT,KAPSOGUT
BURET,BURET,KUSUMEK,KUSUMEK
BURET,BURET,KAPKATET,ITOIK
BURET,KONOIN,KAPTEMBENGWET,KAMAGOMON
BURET,BURET,KIBUGAT,KIBUGAT
BURET,KONOIN,MOGOGOSIEK,NGERERIT
BURET,KONOIN,KAPTEMBENGWET,BESIOBEI
BURET,BURET,CHEMOSOT,KAMINJEIWET
BURET,BURET,TECHOGET,AROKYET
BURET,KONOIN,SOTIT,KIMARWANDI
BURET,BURET,CHEBORGE,KIMWOGIT
BURET,BURET,TULWET,KAPRORET
BURET,BURET,CHEBORGE,KORONGOI
BURET,KONOIN,MOGOGOSIEK,SASETA
BURET,BURET,GETARWET,GETARWET
BURET,KONOIN,EMBOMOS,EMBOMOS
BURET,BURET,KUSUMEK,KAPSENETWET
